animal_id,pet_id,timestamp,timezone,species,sex,life_stage,region_id,region,state,climate_zone,age_years,weight_kg,baseline_hr,baseline_spo2,baseline_temp,heart_rate,spo2,temperature,light,gps_lat,gps_lon,gps_speed_mps,ambient_temperature_c,relative_humidity_pct,wind_speed_mps,temperature_humidity_index,respiration_rate_bpm,shade_access_fraction,cooling_access_fraction,shelter_protection_fraction,injected_scenario,label,risk_type,target_hypoxemia,target_fever,target_abnormal_resting_hr,target_activity_reduction,target_heat_stress,target_cold_stress,sensor_missing_count,sensor_outlier_count
BUFFALO_RJ_001,BUFFALO_RJ_001,2026-05-01 00:00:00,Asia/Kolkata,buffalo,female,adult,RJ,Jaisalmer,Rajasthan,hot_arid,7.028380,533.947757,59.872064,98.492231,37.951739,60.702750,98.423144,37.987649,0.000000,26.945700,70.938300,0.000000,25.712567,25.884735,2.652217,69.898281,19.543559,0.751172,0.144954,0.228917,abnormal_resting_hr,0,no_injected_risk,0,0,0,0,0,0,0,0
BUFFALO_RJ_001,BUFFALO_RJ_001,2026-05-01 00:01:00,Asia/Kolkata,buffalo,female,adult,RJ,Jaisalmer,Rajasthan,hot_arid,7.028380,533.947757,59.872064,98.492231,37.951739,62.757932,98.818227,37.973628,0.000000,26.945652,70.938331,0.103064,25.668055,25.783481,2.687127,69.839741,19.324531,0.751172,0.144954,0.228917,abnormal_resting_hr,0,no_injected_risk,0,0,0,0,0,0,0,0
BUFFALO_RJ_001,BUFFALO_RJ_001,2026-05-01 00:02:00,Asia/Kolkata,buffalo,female,adult,RJ,Jaisalmer,Rajasthan,hot_arid,7.028380,533.947757,59.872064,98.492231,37.951739,61.483952,98.692294,37.940529,0.000000,26.945677,70.938349,0.055221,25.720892,26.757918,2.629287,70.005949,18.836901,0.751172,0.144954,0.228917,abnormal_resting_hr,0,no_injected_risk,0,0,0,0,0,0,0,0
BUFFALO_RJ_001,BUFFALO_RJ_001,2026-05-01 00:03:00,Asia/Kolkata,buffalo,female,adult,RJ,Jaisalmer,Rajasthan,hot_arid,7.028380,533.947757,59.872064,98.492231,37.951739,61.479463,98.781793,37.953512,0.000000,26.945715,70.938366,0.076121,25.510218,27.351588,2.448709,69.846996,18.881979,0.751172,0.144954,0.228917,abnormal_resting_hr,0,no_injected_risk,0,0,0,0,0,0,0,0
BUFFALO_RJ_001,BUFFALO_RJ_001,2026-05-01 00:04:00,Asia/Kolkata,buffalo,female,adult,RJ,Jaisalmer,Rajasthan,hot_arid,7.028380,533.947757,59.872064,98.492231,37.951739,61.570817,99.008748,37.985650,0.000000,26.945726,70.938324,0.072590,25.320290,27.852444,2.419246,69.697800,18.499307,0.751172,0.144954,0.228917,abnormal_resting_hr,0,no_injected_risk,0,0,0,0,0,0,0,0
BUFFALO_RJ_001,BUFFALO_RJ_001,2026-05-01 00:05:00,Asia/Kolkata,buffalo,female,adult,RJ,Jaisalmer,Rajasthan,hot_arid,7.028380,533.947757,59.872064,98.492231,37.951739,62.202164,98.582105,37.979678,0.000000,26.945700,70.938320,0.048949,25.210550,28.733514,2.491026,69.674691,16.874678,0.751172,0.144954,0.228917,abnormal_resting_hr,0,no_injected_risk,0,0,0,0,0,0,0,0
BUFFALO_RJ_001,BUFFALO_RJ_001,2026-05-01 00:06:00,Asia/Kolkata,buffalo,female,adult,RJ,Jaisalmer,Rajasthan,hot_arid,7.028380,533.947757,59.872064,98.492231,37.951739,59.233796,98.782868,37.940099,0.000000,26.945684,70.938332,0.035172,25.205032,29.270851,2.344025,69.726751,17.975257,0.751172,0.144954,0.228917,abnormal_resting_hr,0,no_injected_risk,0,0,0,0,0,0,0,0
BUFFALO_RJ_001,BUFFALO_RJ_001,2026-05-01 00:07:00,Asia/Kolkata,buffalo,female,adult,RJ,Jaisalmer,Rajasthan,hot_arid,7.028380,533.947757,59.872064,98.492231,37.951739,59.156945,98.561752,37.930450,18.994218,26.945701,70.938313,0.042931,25.255644,29.718739,2.507296,69.830676,18.527993,0.751172,0.144954,0.228917,abnormal_resting_hr,0,no_injected_risk,0,0,0,0,0,0,0,0
BUFFALO_RJ_001,BUFFALO_RJ_001,2026-05-01 00:08:00,Asia/Kolkata,buffalo,female,adult,RJ,Jaisalmer,Rajasthan,hot_arid,7.028380,533.947757,59.872064,98.492231,37.951739,61.836482,98.611723,37.956567,0.000000,26.945724,70.938329,0.051212,25.225992,29.814198,2.549794,69.808476,18.651799,0.751172,0.144954,0.228917,abnormal_resting_hr,0,no_injected_risk,0,0,0,0,0,0,0,0
BUFFALO_RJ_001,BUFFALO_RJ_001,2026-05-01 00:09:00,Asia/Kolkata,buffalo,female,adult,RJ,Jaisalmer,Rajasthan,hot_arid,7.028380,533.947757,59.872064,98.492231,37.951739,62.543163,98.535483,37.952882,0.000000,26.945700,70.938294,0.073169,25.283182,30.248913,2.471883,69.918590,19.825536,0.751172,0.144954,0.228917,abnormal_resting_hr,0,no_injected_risk,0,0,0,0,0,0,0,0
