task,feature,importance
abnormal_resting_hr,hr_delta_mean,0.49195414781570435
abnormal_resting_hr,high_hr_inactive_fraction,0.2867574393749237
abnormal_resting_hr,heart_rate_max,0.12705153226852417
abnormal_resting_hr,hr_delta_max,0.08107110857963562
abnormal_resting_hr,temperature_mean,0.005428845062851906
abnormal_resting_hr,spo2_max,0.0017918376252055168
abnormal_resting_hr,inactive_fraction,0.0012240651994943619
abnormal_resting_hr,spo2_min,0.0008457956137135625
abnormal_resting_hr,spo2_mean,0.0007739099091850221
abnormal_resting_hr,temp_delta_mean,0.0005784357199445367
abnormal_resting_hr,temp_delta_min,0.000490423000883311
abnormal_resting_hr,wind_speed_mps_mean,0.00022093883308116347
abnormal_resting_hr,gps_speed_mps_min,0.00020991954079363495
abnormal_resting_hr,thi_history_slope,0.00020738827879540622
abnormal_resting_hr,ambient_temperature_c_min,0.00017026159912347794
abnormal_resting_hr,relative_humidity_pct_max,0.0001663339789956808
abnormal_resting_hr,relative_humidity_pct_mean,0.00016325360047630966
abnormal_resting_hr,temperature_max,0.000162718934006989
abnormal_resting_hr,temperature_min,0.0001616903900867328
abnormal_resting_hr,ambient_temperature_c_mean,0.00014502376143354923
abnormal_resting_hr,relative_humidity_pct_min,0.00014488378656096756
abnormal_resting_hr,spo2_delta_mean,8.77808197401464e-05
abnormal_resting_hr,gps_speed_mps_std,6.863337330287322e-05
abnormal_resting_hr,gps_speed_mps_mean,6.205429963301867e-05
abnormal_resting_hr,thi_history_std,5.300323755363934e-05
abnormal_resting_hr,thi_mean,8.538531801605131e-06
abnormal_resting_hr,heart_rate_mean,0.0
abnormal_resting_hr,heart_rate_std,0.0
abnormal_resting_hr,heart_rate_min,0.0
abnormal_resting_hr,heart_rate_slope,0.0
abnormal_resting_hr,spo2_std,0.0
abnormal_resting_hr,spo2_slope,0.0
abnormal_resting_hr,temperature_std,0.0
abnormal_resting_hr,temperature_slope,0.0
abnormal_resting_hr,log_light_mean,0.0
abnormal_resting_hr,log_light_std,0.0
abnormal_resting_hr,log_light_min,0.0
abnormal_resting_hr,log_light_max,0.0
abnormal_resting_hr,log_light_slope,0.0
abnormal_resting_hr,gps_speed_mps_max,0.0
abnormal_resting_hr,gps_speed_mps_slope,0.0
abnormal_resting_hr,ambient_temperature_c_std,0.0
abnormal_resting_hr,ambient_temperature_c_max,0.0
abnormal_resting_hr,ambient_temperature_c_slope,0.0
abnormal_resting_hr,relative_humidity_pct_std,0.0
abnormal_resting_hr,relative_humidity_pct_slope,0.0
abnormal_resting_hr,wind_speed_mps_std,0.0
abnormal_resting_hr,wind_speed_mps_min,0.0
abnormal_resting_hr,wind_speed_mps_max,0.0
abnormal_resting_hr,wind_speed_mps_slope,0.0
abnormal_resting_hr,thi_std,0.0
abnormal_resting_hr,thi_min,0.0
abnormal_resting_hr,thi_max,0.0
abnormal_resting_hr,thi_slope,0.0
abnormal_resting_hr,hr_delta_std,0.0
abnormal_resting_hr,hr_delta_min,0.0
abnormal_resting_hr,hr_delta_slope,0.0
abnormal_resting_hr,temp_delta_std,0.0
abnormal_resting_hr,temp_delta_max,0.0
abnormal_resting_hr,temp_delta_slope,0.0
abnormal_resting_hr,spo2_delta_std,0.0
abnormal_resting_hr,spo2_delta_min,0.0
abnormal_resting_hr,spo2_delta_max,0.0
abnormal_resting_hr,spo2_delta_slope,0.0
abnormal_resting_hr,thi_history_mean,0.0
abnormal_resting_hr,thi_history_min,0.0
abnormal_resting_hr,thi_history_max,0.0
abnormal_resting_hr,ambient_history_mean,0.0
abnormal_resting_hr,ambient_history_std,0.0
abnormal_resting_hr,ambient_history_min,0.0
abnormal_resting_hr,ambient_history_max,0.0
abnormal_resting_hr,ambient_history_slope,0.0
abnormal_resting_hr,hour_sin,0.0
abnormal_resting_hr,hour_cos,0.0
abnormal_resting_hr,species_cow,0.0
abnormal_resting_hr,species_buffalo,0.0
abnormal_resting_hr,baseline_hr,0.0
abnormal_resting_hr,baseline_temp,0.0
abnormal_resting_hr,baseline_spo2,0.0
abnormal_resting_hr,age_years,0.0
abnormal_resting_hr,weight_kg,0.0
activity_reduction,hr_delta_std,0.16171039640903473
activity_reduction,gps_speed_mps_min,0.15387259423732758
activity_reduction,hour_sin,0.1488513946533203
activity_reduction,gps_speed_mps_max,0.09002428501844406
activity_reduction,gps_speed_mps_std,0.08726809918880463
activity_reduction,log_light_std,0.06664729863405228
activity_reduction,hour_cos,0.06344208121299744
activity_reduction,heart_rate_std,0.055318836122751236
activity_reduction,hr_delta_max,0.02709854580461979
activity_reduction,ambient_history_slope,0.02262011542916298
activity_reduction,hr_delta_min,0.02042977884411812
activity_reduction,thi_history_slope,0.020041612908244133
activity_reduction,heart_rate_slope,0.015252404846251011
activity_reduction,log_light_mean,0.015244930051267147
activity_reduction,log_light_slope,0.010205848142504692
activity_reduction,ambient_temperature_c_mean,0.00968324113637209
activity_reduction,inactive_fraction,0.008047047071158886
activity_reduction,hr_delta_mean,0.0056466911919415
activity_reduction,hr_delta_slope,0.004508076701313257
activity_reduction,gps_speed_mps_mean,0.002626955509185791
activity_reduction,baseline_hr,0.0025426691863685846
activity_reduction,age_years,0.0017954735085368156
activity_reduction,ambient_temperature_c_min,0.0012892854865640402
activity_reduction,spo2_delta_slope,0.0007412329432554543
activity_reduction,thi_history_mean,0.0006272647297009826
activity_reduction,log_light_min,0.0006092416006140411
activity_reduction,thi_history_min,0.00047109118895605206
activity_reduction,wind_speed_mps_max,0.0004481688956730068
activity_reduction,thi_history_std,0.0003358068934176117
activity_reduction,temp_delta_slope,0.00032561933039687574
activity_reduction,thi_mean,0.00032499132794328034
activity_reduction,wind_speed_mps_mean,0.00032313380506820977
activity_reduction,spo2_slope,0.0003200678911525756
activity_reduction,temperature_slope,0.00023279149900190532
activity_reduction,temp_delta_max,0.00016259636322502047
activity_reduction,ambient_temperature_c_slope,0.0001474032033002004
activity_reduction,baseline_temp,0.00011474044731585309
activity_reduction,thi_slope,0.00011006620479747653
activity_reduction,thi_max,9.71499684965238e-05
activity_reduction,temperature_std,9.104493801714852e-05
activity_reduction,log_light_max,7.63991629355587e-05
activity_reduction,heart_rate_mean,7.084172830218449e-05
activity_reduction,wind_speed_mps_min,6.476386624854058e-05
activity_reduction,thi_history_max,6.45042018732056e-05
activity_reduction,heart_rate_max,4.191936386632733e-05
activity_reduction,spo2_std,3.1424911867361516e-05
activity_reduction,heart_rate_min,0.0
activity_reduction,spo2_mean,0.0
activity_reduction,spo2_min,0.0
activity_reduction,spo2_max,0.0
activity_reduction,temperature_mean,0.0
activity_reduction,temperature_min,0.0
activity_reduction,temperature_max,0.0
activity_reduction,gps_speed_mps_slope,0.0
activity_reduction,ambient_temperature_c_std,0.0
activity_reduction,ambient_temperature_c_max,0.0
activity_reduction,relative_humidity_pct_mean,0.0
activity_reduction,relative_humidity_pct_std,0.0
activity_reduction,relative_humidity_pct_min,0.0
activity_reduction,relative_humidity_pct_max,0.0
activity_reduction,relative_humidity_pct_slope,0.0
activity_reduction,wind_speed_mps_std,0.0
activity_reduction,wind_speed_mps_slope,0.0
activity_reduction,thi_std,0.0
activity_reduction,thi_min,0.0
activity_reduction,temp_delta_mean,0.0
activity_reduction,temp_delta_std,0.0
activity_reduction,temp_delta_min,0.0
activity_reduction,spo2_delta_mean,0.0
activity_reduction,spo2_delta_std,0.0
activity_reduction,spo2_delta_min,0.0
activity_reduction,spo2_delta_max,0.0
activity_reduction,ambient_history_mean,0.0
activity_reduction,ambient_history_std,0.0
activity_reduction,ambient_history_min,0.0
activity_reduction,ambient_history_max,0.0
activity_reduction,high_hr_inactive_fraction,0.0
activity_reduction,species_cow,0.0
activity_reduction,species_buffalo,0.0
activity_reduction,baseline_spo2,0.0
activity_reduction,weight_kg,0.0
cold_stress,ambient_history_max,0.38252201676368713
cold_stress,thi_history_max,0.3699006736278534
cold_stress,ambient_history_mean,0.14630775153636932
cold_stress,thi_history_mean,0.03158204257488251
cold_stress,ambient_history_min,0.013686477206647396
cold_stress,ambient_temperature_c_mean,0.00373461889103055
cold_stress,baseline_hr,0.003730114083737135
cold_stress,thi_min,0.0026681351009756327
cold_stress,baseline_temp,0.0024388765450567007
cold_stress,ambient_temperature_c_min,0.002213663887232542
cold_stress,hour_sin,0.0021264117676764727
cold_stress,thi_history_min,0.002008862094953656
cold_stress,hr_delta_slope,0.0016182051040232182
cold_stress,temp_delta_min,0.0015441944124177098
cold_stress,hr_delta_mean,0.001460338942706585
cold_stress,ambient_temperature_c_max,0.0014458874939009547
cold_stress,heart_rate_mean,0.0013137995265424252
cold_stress,thi_max,0.001268285559490323
cold_stress,temperature_mean,0.0012605643132701516
cold_stress,spo2_max,0.0012485028710216284
cold_stress,temp_delta_max,0.0012005135649815202
cold_stress,hr_delta_min,0.0011850767768919468
cold_stress,hr_delta_max,0.0011048164451494813
cold_stress,log_light_std,0.0010953496675938368
cold_stress,log_light_max,0.001077745808288455
cold_stress,heart_rate_max,0.0010641389526426792
cold_stress,log_light_mean,0.0010127297136932611
cold_stress,gps_speed_mps_max,0.0009965129429474473
cold_stress,temperature_min,0.000979705131612718
cold_stress,temp_delta_mean,0.0009664840763434768
cold_stress,species_cow,0.0008958301623351872
cold_stress,temperature_max,0.0008229211671277881
cold_stress,species_buffalo,0.0007653198554180562
cold_stress,gps_speed_mps_min,0.0007137860520742834
cold_stress,hr_delta_std,0.0006856753025203943
cold_stress,temperature_slope,0.00060364103410393
cold_stress,ambient_history_slope,0.0005878814845345914
cold_stress,gps_speed_mps_mean,0.0005653221160173416
cold_stress,thi_std,0.0005308858817443252
cold_stress,baseline_spo2,0.0005054644425399601
cold_stress,spo2_mean,0.00045726995449513197
cold_stress,spo2_delta_max,0.0004550082376226783
cold_stress,relative_humidity_pct_min,0.0004539388173725456
cold_stress,heart_rate_std,0.00043510773684829473
cold_stress,thi_history_slope,0.0003754159843083471
cold_stress,thi_mean,0.0003403055889066309
cold_stress,age_years,0.0003396579413674772
