task,feature,importance
abnormal_resting_hr,hr_delta_max,0.2601798176765442
abnormal_resting_hr,gps_speed_mps_min,0.12257689237594604
abnormal_resting_hr,temperature_max,0.07559159398078918
abnormal_resting_hr,gps_speed_mps_std,0.07470908015966415
abnormal_resting_hr,hr_delta_mean,0.07115645706653595
abnormal_resting_hr,spo2_delta_mean,0.05957664176821709
abnormal_resting_hr,heart_rate_std,0.0481739267706871
abnormal_resting_hr,heart_rate_max,0.03645124286413193
abnormal_resting_hr,spo2_max,0.034793347120285034
abnormal_resting_hr,light_min,0.03454058617353439
abnormal_resting_hr,heart_rate_slope,0.03216221183538437
abnormal_resting_hr,high_hr_while_inactive,0.03050054982304573
abnormal_resting_hr,light_mean,0.02690351940691471
abnormal_resting_hr,gps_speed_mps_max,0.0259780902415514
abnormal_resting_hr,gps_speed_mps_mean,0.01782597042620182
abnormal_resting_hr,heart_rate_mean,0.007063424214720726
abnormal_resting_hr,temperature_hr_corr,0.005946256686002016
abnormal_resting_hr,hr_speed_corr,0.005140998866409063
abnormal_resting_hr,spo2_delta_min,0.00504413852468133
abnormal_resting_hr,temperature_min,0.004108100663870573
abnormal_resting_hr,temperature_std,0.003388191107660532
abnormal_resting_hr,hour_cos_mean,0.002958911005407572
abnormal_resting_hr,light_slope,0.00279133184812963
abnormal_resting_hr,gps_speed_mps_slope,0.0017182508017867804
abnormal_resting_hr,temp_delta_mean,0.0016834171256050467
abnormal_resting_hr,temp_delta_max,0.0014758143806830049
abnormal_resting_hr,spo2_std,0.0013181449612602592
abnormal_resting_hr,light_std,0.0011684224009513855
abnormal_resting_hr,spo2_min,0.0009792811470106244
abnormal_resting_hr,temperature_mean,0.0009615652961656451
abnormal_resting_hr,temperature_slope,0.0009108101367019117
abnormal_resting_hr,light_max,0.000820330751594156
abnormal_resting_hr,spo2_mean,0.0007805398781783879
abnormal_resting_hr,heart_rate_min,0.0006221660878509283
abnormal_resting_hr,spo2_slope,0.0
abnormal_resting_hr,low_spo2_fraction,0.0
abnormal_resting_hr,inactive_fraction,0.0
abnormal_resting_hr,active_fraction,0.0
abnormal_resting_hr,daylight_inactive_fraction,0.0
abnormal_resting_hr,hour_sin_mean,0.0
abnormal_resting_hr,age_years,0.0
abnormal_resting_hr,weight_kg,0.0
abnormal_resting_hr,species_code,0.0
abnormal_resting_hr,baseline_hr,0.0
abnormal_resting_hr,baseline_temp,0.0
abnormal_resting_hr,baseline_spo2,0.0
activity_reduction,light_mean,0.23098906874656677
activity_reduction,gps_speed_mps_std,0.20626188814640045
activity_reduction,gps_speed_mps_min,0.15360385179519653
activity_reduction,light_max,0.1080208495259285
activity_reduction,light_min,0.09018636494874954
activity_reduction,gps_speed_mps_mean,0.08364027738571167
activity_reduction,spo2_mean,0.01849333755671978
